0 G 0 0 0 0 5 9 0 7 0 0 0 F 0 0
0 0 0 E 0 C 7 0 F 0 B 0 0 0 6 3
0 0 9 3 F 0 0 0 0 G 0 0 4 0 D 8
7 0 0 0 0 0 0 3 D 9 0 0 C 0 1 0
0 0 A 0 7 0 D E 5 0 6 8 0 0 F 0
0 6 0 0 9 0 0 0 0 0 0 0 E 0 0 7
E 0 5 7 2 0 0 0 0 0 0 0 0 D 0 1
9 0 0 0 5 0 0 F 0 0 0 1 2 G 0 B
0 0 0 9 D 0 8 0 0 A 0 G 0 0 E 0
G 5 D B 1 0 0 0 8 F C 0 7 0 0 0
0 8 0 0 E 0 0 0 0 0 0 0 B 0 0 0
0 A 0 F 6 0 0 G 9 0 0 0 0 0 0 0
5 0 7 D 0 2 0 0 0 0 0 0 0 0 B 4
0 0 4 0 0 B 0 0 A 2 0 0 F C 0 0
B 0 8 0 C F 6 0 0 0 0 0 0 0 0 2
0 0 0 1 0 0 0 0 0 4 0 0 0 0 3 6
